"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station Pleasanton.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          717            4            0           10            0        "
"                     Pleasanton.A BRNTWOOD.A   CONCORD.A    LIVERMOR.C   "
"Air Temps, max/min     700           14            7           10            0        "
"                     Pleasanton.A BRNTWOOD.A   CONCORD.A    LIVERMOR.C   "
"Soil Temps, max/min    713            0            0            0           18        "
"                     Pleasanton.A none         none         none         "
"Rel. Humidity          709            0            0            0           22        "
"                     Pleasanton.A none         none         none         "
"ETo                    717            0            0            0           14        "
"                     Pleasanton.A none         none         none         "
"Solar Radiation        711            8            2           10            0        "
"                     Pleasanton.A BRNTWOOD.A   CONCORD.A    BRNTWOOD.A   "
"Wind Speed & Dir       709            0            0            0           22        "
"                     Pleasanton.A none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Pleasanton.A,20130810,2359,0.000,,26.1,13.3,,,0,0,,,23.9,21.7,,269,5.076,88.0,42.0
Pleasanton.A,20130811,2359,0.000,,28.3,12.8,,,0,0,,,23.9,21.7,,285,5.330,91.0,31.0
Pleasanton.A,20130812,2359,0.000,,30.0,11.1,,,0,0,,,23.9,21.7,,297,5.838,92.0,25.0
Pleasanton.A,20130813,2359,0.000,,33.9,10.6,,,0,0,,,24.4,21.1,,302,6.091,89.0,15.0
Pleasanton.A,20130814,2359,0.000,,31.1,11.7,,,0,0,,,23.9,20.6,,302,5.838,89.0,23.0
Pleasanton.A,20130815,2359,0.000,,30.0,13.9,,,0,0,,,24.4,21.1,,294,5.584,92.0,37.0
Pleasanton.A,20130816,2359,0.000,,31.7,14.4,,,0,0,,,24.4,22.2,,293,6.091,93.0,28.0
Pleasanton.A,20130817,2359,0.000,,28.9,14.4,,,0,0,,,23.9,21.7,,207,3.807,84.0,33.0
Pleasanton.A,20130818,2359,0.000,,37.8,13.3,,,0,0,,,24.4,21.1,,248,5.330,91.0,18.0
Pleasanton.A,20130819,2359,0.000,,36.7,17.8,,,0,0,,,25.0,22.2,,266,6.091,76.0,23.0
Pleasanton.A,20130820,2359,0.000,,32.2,15.0,,,0,0,,,25.6,22.8,,275,5.584,83.0,28.0
Pleasanton.A,20130821,2359,0.000,,28.9,13.3,,,0,0,,,25.0,22.2,,263,4.822,88.0,40.0
Pleasanton.A,20130822,2359,0.000,,25.6,12.8,,,0,0,,,23.9,21.1,,262,4.822,89.0,45.0
Pleasanton.A,20130823,2359,0.000,,28.9,12.2,,,0,0,,,23.3,20.6,,268,4.822,89.0,36.0
Pleasanton.A,20130824,2359,0.000,,27.2,12.2,,,0,0,,,23.3,20.0,,274,5.076,90.0,40.0
Pleasanton.A,20130825,2359,0.000,,30.0,16.7,,,0,0,,,23.9,21.7,,257,4.822,86.0,38.0
Pleasanton.A,20130826,2359,0.000,,26.7,13.9,,,0,0,,,23.9,21.7,,259,5.076,83.0,37.0
Pleasanton.A,20130827,2359,0.000,,30.0,11.7,,,0,0,,,23.3,21.1,,276,5.330,90.0,26.0
Pleasanton.A,20130828,2359,0.000,,28.9,12.8,,,0,0,,,23.3,21.1,,277,5.330,92.0,38.0
